;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
MYPK3;14,06;24.132.271,58;-4,40;0,57;-%;0,92;-3,20;2,22;Consumo Cíclico;Automóveis e Motocicletas
NAFG3;64,37;-;11,80;2,76;-%;0,48;5,46;5,46;Consumo Cíclico;Utilidades Domésticas
NAFG4;19,02;-;3,49;0,82;-%;0,48;5,46;5,46;Consumo Cíclico;Utilidades Domésticas
NEMO3;0,00;-;0,00;0,00;-%;8,63;-16,99;-4,45;Materiais Básicos;Madeira e Papel
NEMO5;52,97;-;-3,12;1,24;0,06%;8,63;-16,99;-4,45;Materiais Básicos;Madeira e Papel
NEMO6;0,00;-;0,00;0,00;-%;8,63;-16,99;-4,45;Materiais Básicos;Madeira e Papel
NEOE3;16,56;32.210.244,65;7,16;0,93;3,71%;0,99;2,31;1,84;Utilidade Pública;Energia Elétrica
NGRD3;6,96;24.831.444,20;134,40;3,66;-%;-0,52;0,05;;Tecnologia da Informação;Programas e Serviços
NORD3;24,19;110.944,58;-238,06;-1,15;-%;-;-0,10;-0,05;Bens Industriais;Máquinas e Equipamentos
NRTQ3;0,00;-;0,00;0,00;-%;-0,16;2,48;1,33;Saúde;Medicamentos e Outros Produtos
NTCO3;47,41;325.342.311,63;-100,32;2,38;-%;0,20;-0,47;0,57;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza
NUTR3;279,70;48.484,00;10,43;2,20;-%;0,43;26,82;269,31;Materiais Básicos;Químicos
ODER4;190,00;37.500,00;18,05;7,54;0,13%;0,30;10,52;1,83;Consumo não Cíclico;Alimentos Processados
ODPV3;12,71;18.410.506,63;18,76;5,61;5,45%;-0,61;0,68;0,54;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
OFSA3;33,32;805.901,48;20,11;3,22;1,83%;0,27;1,66;0,86;Saúde;Comércio e Distribuição
OGXP3;1,63;-;-2,15;-0,98;-%;-;-0,76;-351,89;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
OIBR3;1,75;224.768.691,10;-0,98;1,33;-%;2,84;-1,77;-1,51;Comunicações;Telecomunicações
OIBR4;2,45;10.992.072,30;-1,38;1,87;-%;2,84;-1,77;-1,51;Comunicações;Telecomunicações
OMGE3;38,94;39.666.212,80;155,03;1,99;-%;1,34;0,25;0,20;Utilidade Pública;Energia Elétrica
OSXB3;14,50;1.271.451,70;-0,05;-0,01;-%;-;-276,44;-180,29;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PARD3;19,04;9.888.626,30;19,74;3,40;1,52%;0,21;0,97;1,21;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
PATI3;60,00;24.809,26;6,01;1,81;0,30%;-0,05;9,99;0,98;Materiais Básicos;Siderurgia e Metalurgia
PATI4;70,00;32.618,10;7,01;2,12;4,00%;-0,05;9,99;0,98;Materiais Básicos;Siderurgia e Metalurgia
PCAR3;37,74;245.135.496,05;4,66;0,60;1,54%;0,03;8,12;2,96;Consumo não Cíclico;Comércio e Distribuição
PCAR4;72,11;-;8,88;1,15;-%;0,03;8,12;2,96;Consumo não Cíclico;Comércio e Distribuição
PDGR3;6,04;832.584,00;-0,11;-0,01;-%;-;-56,36;-111,57;Consumo Cíclico;Construção Civil
PDTC3;9,13;1.854.100,23;41,89;7,00;-%;0,21;0,22;0,33;Financeiro e Outros;Serviços Financeiros Diversos
PEAB3;71,00;32.503,50;1,96;1,62;45,23%;-0,38;36,15;3,55;Financeiro e Outros;Holdings Diversificadas
PEAB4;70,00;15.008,59;1,94;1,59;50,47%;-0,38;36,15;3,55;Financeiro e Outros;Holdings Diversificadas
PETR3;23,19;581.384.617,10;42,54;0,97;4,46%;1,06;0,54;3,08;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PETR4;23,60;1.797.367.198,98;43,26;0,99;3,37%;1,06;0,54;3,08;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PETZ3;22,75;71.503.781,40;153,72;17,44;0,15%;0,02;0,16;;Consumo Cíclico;Comércio
PFRM3;6,10;3.302.671,93;14,41;0,53;-%;0,16;0,42;0,10;Saúde;Comércio e Distribuição
PGMN3;9,24;8.884.315,53;42,56;2,11;-%;0,13;0,22;-0,02;Saúde;Comércio e Distribuição
PINE3;0,00;-;0,00;0,00;-%;-;-0,48;-0,95;Financeiro e Outros;Intermediários Financeiros
PINE4;2,37;462.999,98;-5,54;0,44;-%;-;-0,48;-0,95;Financeiro e Outros;Intermediários Financeiros
PLAS3;8,75;215.438,65;-0,93;-0,57;-%;-;-9,42;-0,55;Consumo Cíclico;Automóveis e Motocicletas
PLPL3;6,65;4.371.368,98;10,26;5,89;-%;0,38;0,65;;Consumo Cíclico;Construção Civil
PMAM3;18,74;5.648.358,88;-0,95;-4,12;-%;-;-19,85;5,45;Materiais Básicos;Siderurgia e Metalurgia
PNVL3;19,34;14.823.478,10;52,28;2,90;0,70%;0,21;0,37;17,00;Saúde;Comércio e Distribuição
PNVL4;19,34;202.895,25;52,26;2,90;0,77%;0,21;0,37;17,00;Saúde;Comércio e Distribuição
POMO3;2,49;585.849,90;22,79;0,91;0,80%;0,38;0,11;0,21;Bens Industriais;Material de Transporte
POMO4;2,63;20.389.194,93;24,07;0,96;0,76%;0,38;0,11;0,21;Bens Industriais;Material de Transporte
POSI3;11,26;79.290.838,70;8,46;1,56;0,28%;0,21;1,35;0,19;Tecnologia da Informação;Computadores e Equipamentos
PPAR3;14,60;-;-11,37;0,02;-%;-0,05;-1,28;6,15;Financeiro e Outros;Outros
PPLA11;9,92;61.373,18;-189,94;5.584,30;-%;-;-0,01;-0,04;Financeiro e Outros;Serviços Financeiros Diversos
PRIO3;92,60;606.644.875,25;35,99;5,17;-%;0,54;3,13;4,53;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PRNR3;9,43;1.567.587,25;-170,95;1,62;-%;-0,21;-0,06;-0,06;Bens Industriais;Serviços
PSSA3;48,02;48.474.977,65;9,20;1,73;5,83%;-1,17;5,22;4,27;Financeiro e Outros;Previdência e Seguros
PTBL3;10,65;40.025.721,60;12,84;3,94;1,42%;0,96;0,81;0,08;Bens Industriais;Construção e Engenharia
PTCA11;0,00;-;0,00;0,00;-%;0,53;1,31;2,15;Bens Industriais;Máquinas e Equipamentos
PTCA3;0,00;-;0,00;0,00;-%;0,53;1,31;2,15;Bens Industriais;Máquinas e Equipamentos
PTNT3;16,55;855.551,85;41,83;2,63;-%;0,38;0,08;-0,05;Consumo Cíclico;Tecidos. Vestuário e Calçados
PTNT4;5,05;179.969,55;12,76;0,80;-%;0,38;0,08;-0,05;Consumo Cíclico;Tecidos. Vestuário e Calçados
QUAL3;26,36;83.574.105,48;19,17;4,46;1,11%;0,36;1,38;1,39;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
QUSW3;0,00;-;0,00;0,00;-%;0,13;11,69;2,55;Tecnologia da Informação;Programas e Serviços
QVQP3B;0,00;-;0,00;0,00;-%;-0,97;0,00;0,00;Financeiro e Outros;Outros
RADL3;25,18;145.472.586,33;86,03;9,42;0,46%;0,17;0,29;2,34;Saúde;Comércio e Distribuição
RAIL3;20,68;201.145.383,30;129,47;2,52;-%;0,79;0,16;0,50;Bens Industriais;Transporte
RANI3;6,24;14.633.672,88;17,27;2,04;1,76%;0,31;0,36;-0,48;Materiais Básicos;Madeira e Papel
RANI4;5,50;644.391,25;15,22;1,80;1,25%;0,31;0,36;-0,48;Materiais Básicos;Madeira e Papel
RAPT3;11,25;291.436,40;5,85;1,46;5,40%;0,43;1,92;0,85;Bens Industriais;Material de Transporte
RAPT4;13,94;39.564.263,43;7,27;1,81;4,35%;0,43;1,92;0,85;Bens Industriais;Material de Transporte
RCSL3;8,32;14.518.561,50;-461,82;-9,72;-%;-;-0,02;-0,05;Bens Industriais;Material de Transporte
RCSL4;1,49;3.120.142,05;-82,15;-1,73;-%;-;-0,02;-0,05;Bens Industriais;Material de Transporte
RDNI3;9,43;207.951,90;82,22;0,66;0,11%;0,59;0,03;0,04;Consumo Cíclico;Construção Civil
RDOR3;68,40;117.667.529,73;317,04;9,70;0,30%;0,59;0,22;;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
REDE3;8,09;273.738,93;18,81;2,99;1,15%;0,91;0,43;0,35;Utilidade Pública;Energia Elétrica
RENT3;62,20;303.458.150,13;45,00;7,79;0,55%;1,08;1,38;1,15;Consumo Cíclico;Diversos
RLOG3;23,08;105.214.775,75;82,76;4,26;-%;5,71;0,28;0,46;Bens Industriais;Transporte
RNEW11;12,82;100 %;7,95;-0,16;-%;-;1,61;-7,29;Utilidade Pública;Energia Elétrica
RNEW3;4,57;128.199,50;8,44;-0,17;-%;-;0,54;-2,43;Utilidade Pública;Energia Elétrica
RNEW4;4,19;223.983,80;7,79;-0,16;-%;-;0,54;-2,43;Utilidade Pública;Energia Elétrica
ROMI3;33,70;54.100.030,58;16,02;2,97;6,08%;0,33;2,38;2,06;Bens Industriais;Máquinas e Equipamentos
RPAD3;7,09;12.976,11;17,68;0,58;-%;-0,02;0,40;0,48;Financeiro e Outros;Intermediários Financeiros
RPAD5;8,90;10.613,68;22,20;0,73;6,13%;-0,02;0,40;0,48;Financeiro e Outros;Intermediários Financeiros
RPAD6;5,59;8.931,19;13,94;0,46;-%;-0,02;0,40;0,48;Financeiro e Outros;Intermediários Financeiros
RPMG3;4,26;1.108.911,93;-0,71;-0,09;-%;-;-6,10;-3,38;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
RRRP3;44,56;43.127.423,30;-22,75;5,48;-%;-0,07;-2,37;;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
RSID3;12,35;2.032.421,25;14,18;-0,38;-%;-;0,87;-18,14;Consumo Cíclico;Construção Civil
RSUL3;0,00;-;0,00;0,00;-%;-;-9,79;29,68;Bens Industriais;Material de Transporte
RSUL4;205,00;52.940,10;-20,93;-14,61;-%;-;-9,79;29,68;Bens Industriais;Material de Transporte
SANB11;40,95;100 %;11,02;1,82;2,50%;-;3,58;4,38;Financeiro e Outros;Intermediários Financeiros
SANB3;19,76;1.104.184,88;10,63;1,76;2,46%;-;1,79;2,19;Financeiro e Outros;Intermediários Financeiros
SANB4;21,21;1.529.030,75;11,33;1,87;2,54%;-;1,79;2,19;Financeiro e Outros;Intermediários Financeiros
SAPR11;20,84;100 %;6,32;0,91;4,77%;0,40;3,30;10,72;Utilidade Pública;Água e Saneamento
SAPR3;4,19;2.762.922,68;6,36;0,91;4,39%;0,40;0,66;2,14;Utilidade Pública;Água e Saneamento
SAPR4;4,20;21.911.983,03;6,37;0,91;4,82%;0,40;0,66;2,14;Utilidade Pública;Água e Saneamento
SBSP3;40,81;152.773.527,35;28,66;1,22;3,37%;0,59;1,42;5,59;Utilidade Pública;Água e Saneamento
SCAR3;38,35;304.301,35;25,35;1,42;0,16%;0,64;1,51;1,50;Financeiro e Outros;Exploração de Imóveis
SEDU3;23,80;-;-13,36;15,00;-%;4,15;-1,78;-1,78;Consumo Cíclico;Diversos
SEER3;12,74;10.825.026,83;9,94;1,15;2,56%;-0,06;1,28;1,06;Consumo Cíclico;Diversos
SEQL3;24,86;18.821.179,25;486,49;8,31;-%;0,46;0,06;;Bens Industriais;Transporte
SGPS3;10,72;1.006.104,00;-1,67;0,48;-%;0,71;-6,42;0,23;Consumo Cíclico;Tecidos. Vestuário e Calçados
SHOW3;4,07;1.861.010,95;-2,53;1,44;-%;-0,30;-1,61;-1,05;Consumo Cíclico;Viagens e Lazer
SHUL3;0,00;-;0,00;0,00;-%;0,33;1,59;1,09;Bens Industriais;Máquinas e Equipamentos
SHUL4;10,84;4.492.555,50;13,66;2,61;3,21%;0,33;1,59;1,09;Bens Industriais;Máquinas e Equipamentos
SIMH3;41,33;23.628.413,63;30,84;2,64;0,42%;2,88;1,34;1,25;Financeiro e Outros;Holdings Diversificadas
SLCE3;50,38;55.570.828,63;19,65;3,05;1,96%;0,26;2,56;1,63;Consumo não Cíclico;Agropecuária
SLED3;1,08;859.369,63;-0,16;-0,13;-%;-;-6,62;-11,91;Consumo Cíclico;Comércio
SLED4;0,57;1.140.864,90;-0,09;-0,07;-%;-;-6,62;-11,91;Consumo Cíclico;Comércio
SMFT3;0,00;-;0,00;0,00;-%;0,65;-28,41;-18,94;Consumo Cíclico;Viagens e Lazer
SMLS3;21,49;56.347.745,08;14,24;2,97;24,65%;-0,72;1,58;5,05;Consumo Cíclico;Diversos
SMTO3;32,82;40.336.923,80;13,47;3,47;1,65%;1,36;2,64;1,76;Consumo não Cíclico;Alimentos Processados
SNSY3;15,81;15.511,19;-0,87;-0,09;-%;-;-18,12;-;Materiais Básicos;Materiais Diversos
SNSY5;5,36;69.489,58;-0,30;-0,03;-%;-;-18,12;-;Materiais Básicos;Materiais Diversos
SNSY6;13,33;1.033,67;-0,74;-0,07;-%;-;-18,12;-;Materiais Básicos;Materiais Diversos
SOMA3;11,57;28.735.682,65;-80,59;3,60;-%;-0,18;-0,15;;Consumo Cíclico;Comércio
SOND3;241,80;-;28,17;8,49;0,35%;-0,63;8,58;1,78;Bens Industriais;Construção e Engenharia
SOND5;56,00;27.605,13;6,52;1,97;1,64%;-0,63;8,58;1,78;Bens Industriais;Construção e Engenharia
SOND6;55,00;19.142,67;6,41;1,93;1,67%;-0,63;8,58;1,78;Bens Industriais;Construção e Engenharia
SPRI3;21,72;15.718,85;-3,32;2,45;-%;-0,14;-6,54;-2,20;Financeiro e Outros;Holdings Diversificadas
SPRI5;8,52;3.405,00;-1,30;0,96;-%;-0,14;-6,54;-2,20;Financeiro e Outros;Holdings Diversificadas
SPRI6;11,00;13.263,91;-1,68;1,24;-%;-0,14;-6,54;-2,20;Financeiro e Outros;Holdings Diversificadas
SPRT3B;76,40;-;-2.717,50;-2.795,73;-%;-;-0,03;0,00;Financeiro e Outros;Outros
SQIA3;22,01;15.293.991,75;313,31;3,57;-%;-0,56;0,07;-0,39;Tecnologia da Informação;Programas e Serviços
STBP3;7,36;46.869.683,70;-461,29;3,03;0,24%;-0,30;-0,02;0,02;Bens Industriais;Transporte
STKF3;0,00;-;0,00;0,00;-%;0,30;0,27;0,32;Consumo Cíclico;Viagens e Lazer
STTR3;0,00;-;0,00;0,00;-%;-0,16;0,46;0,43;Bens Industriais;Máquinas e Equipamentos
SULA11;32,64;100 %;5,92;1,72;5,50%;-1,88;5,85;3,00;Financeiro e Outros;Previdência e Seguros
SULA3;12,22;436.474,48;6,65;1,93;4,90%;-1,88;1,95;1,00;Financeiro e Outros;Previdência e Seguros
SULA4;10,24;517.960,58;5,57;1,61;5,84%;-1,88;1,95;1,00;Financeiro e Outros;Previdência e Seguros
SUZB3;68,87;554.072.108,80;-8,74;12,78;-%;8,70;-7,88;-2,07;Materiais Básicos;Madeira e Papel
TAEE11;40,63;100 %;6,19;2,32;7,90%;0,89;6,57;2,91;Utilidade Pública;Energia Elétrica
TAEE3;13,55;1.135.069,50;6,19;2,32;7,90%;0,89;2,19;0,97;Utilidade Pública;Energia Elétrica
TAEE4;13,56;2.993.113,08;6,19;2,33;7,89%;0,89;2,19;0,97;Utilidade Pública;Energia Elétrica
TASA3;23,93;3.008.506,00;9,09;56,71;-%;15,97;2,96;0,51;Bens Industriais;Máquinas e Equipamentos
TASA4;23,62;72.686.229,28;8,98;55,97;-%;15,97;2,96;0,51;Bens Industriais;Máquinas e Equipamentos
TCNO3;2,40;221.427,73;31,53;283,73;-%;597,55;-0,11;-;Bens Industriais;Construção e Engenharia
TCNO4;1,64;320.128,25;21,54;193,88;-%;597,55;-0,11;-;Bens Industriais;Construção e Engenharia
TCSA3;8,25;11.558.471,58;-3,68;0,77;-%;0,35;-2,24;-0,32;Consumo Cíclico;Construção Civil
TECN3;2,08;3.507.287,00;-5,80;0,52;-%;0,19;-0,36;-1,56;Consumo Cíclico;Tecidos. Vestuário e Calçados
TEKA3;38,55;20.856,08;-0,17;-0,01;-%;-;-230,11;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
TEKA4;15,91;133.906,23;-0,07;0,00;-%;-;-230,11;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
TELB3;68,91;34.934,67;-44,02;3,01;-%;-0,45;-1,57;-4,79;Comunicações;Telecomunicações
TELB4;24,68;170.324,55;-15,77;1,08;-%;-0,45;-1,57;-4,79;Comunicações;Telecomunicações
TEND3;25,99;26.814.596,28;13,54;1,79;1,90%;-0,10;1,92;2,53;Consumo Cíclico;Construção Civil
TESA3;42,96;904.863,55;-16,46;1,19;-%;1,29;-2,62;-7,52;Consumo não Cíclico;Agropecuária
TFCO4;12,70;1.922.404,48;466,70;59,79;-%;-0,19;0,03;;Consumo Cíclico;Comércio
TGMA3;22,36;12.224.729,20;20,04;2,36;2,37%;-0,01;1,12;2,94;Bens Industriais;Transporte
TIET11;12,54;100 %;5,90;2,72;8,56%;1,75;2,12;0,76;Utilidade Pública;Energia Elétrica
TIET3;3,49;558.793,42;8,21;3,78;6,15%;1,75;0,43;0,15;Utilidade Pública;Energia Elétrica
TIET4;3,51;1.764.454,32;8,26;3,80;6,11%;1,75;0,43;0,15;Utilidade Pública;Energia Elétrica
TIMS3;12,01;73.889.663,33;15,77;1,25;3,73%;0,24;0,76;1,38;Comunicações;Telecomunicações
TKNO3;69,63;-;16,04;1,08;0,52%;-0,21;4,34;5,46;Materiais Básicos;Siderurgia e Metalurgia
TKNO4;53,35;14.731,75;12,29;0,83;3,59%;-0,21;4,34;5,46;Materiais Básicos;Siderurgia e Metalurgia
TOTS3;30,79;137.888.378,93;60,37;6,84;0,55%;-0,34;0,51;1,27;Tecnologia da Informação;Programas e Serviços
TOYB3;2,29;-;-43,94;-4,97;-%;-;-0,05;-0,05;Consumo Cíclico;Viagens e Lazer
TOYB4;2,50;-;-47,96;-5,43;-%;-;-0,05;-0,05;Consumo Cíclico;Viagens e Lazer
TPIS3;3,49;8.722.724,73;3,35;0,69;-%;1,90;1,08;-1,09;Bens Industriais;Transporte
TRIS3;9,76;13.267.956,78;10,74;1,51;2,46%;0,05;0,91;0,96;Consumo Cíclico;Construção Civil
TRPL3;29,20;198.667,58;5,72;1,36;10,66%;0,14;5,10;2,68;Utilidade Pública;Energia Elétrica
TRPL4;26,01;42.049.600,28;5,10;1,21;11,97%;0,14;5,10;2,68;Utilidade Pública;Energia Elétrica
TUPY3;23,42;32.548.544,45;-44,38;1,32;-%;0,31;-0,53;1,93;Bens Industriais;Material de Transporte
TXRX3;36,50;25.245,64;-8,68;-0,50;-%;-;-4,20;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
TXRX4;9,69;50.136,90;-2,31;-0,13;-%;-;-4,20;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
UCAS3;5,17;751.055,43;23,08;2,20;5,60%;-0,31;0,22;0,27;Consumo Cíclico;Utilidades Domésticas
UGPA3;20,57;111.517.519,23;25,72;2,32;2,13%;1,16;0,80;0,34;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
UNIP3;74,09;1.648.302,23;19,03;4,02;2,47%;-0,23;3,89;1,99;Materiais Básicos;Químicos
UNIP5;80,23;112.816,48;20,61;4,36;2,50%;-0,23;3,89;1,99;Materiais Básicos;Químicos
UNIP6;81,27;27.317.729,18;20,88;4,41;2,47%;-0,23;3,89;1,99;Materiais Básicos;Químicos
USIM3;24,04;13.947.519,18;14,50;1,91;0,16%;0,11;0,54;0,17;Materiais Básicos;Siderurgia e Metalurgia
USIM5;23,25;390.184.360,70;13,99;1,85;0,19%;0,11;0,54;0,17;Materiais Básicos;Siderurgia e Metalurgia
USIM6;29,85;21.585,53;17,97;2,37;0,15%;0,11;0,54;0,17;Materiais Básicos;Siderurgia e Metalurgia
VALE3;112,09;2.579.566.449,98;10,53;2,86;5,95%;0,03;5,05;-1,26;Materiais Básicos;Mineração
VAMO3;39,52;17.302.978,33;41,72;6,30;-%;1,15;;;Bens Industriais;Máquinas e Equipamentos
VIVA3;24,29;27.615.195,20;39,12;4,90;0,44%;-0,13;0,62;1,23;Consumo Cíclico;Tecidos. Vestuário e Calçados
VIVR3;1,49;1.691.172,65;-0,87;-0,69;-%;-;-1,86;-4,76;Consumo Cíclico;Construção Civil
VIVT3;42,98;118.793.807,15;15,23;1,04;10,17%;0,11;2,82;2,96;Comunicações;Telecomunicações
VIVT4;45,34;111.231.163,93;16,07;1,10;5,05%;0,11;2,82;2,96;Comunicações;Telecomunicações
VLID3;9,20;7.137.895,90;-3,73;0,68;-%;0,69;-2,84;0,76;Bens Industriais;Serviços
VSPT3;0,00;-;0,00;0,00;-%;-0,07;-0,83;-0,79;Bens Industriais;Transporte
VSPT4;0,00;-;0,00;0,00;-%;-0,07;-0,83;-0,79;Bens Industriais;Transporte
VULC3;7,77;4.710.614,75;60,45;1,70;-%;0,06;0,13;0,58;Consumo Cíclico;Tecidos. Vestuário e Calçados
VVAR3;12,18;587.054.893,03;19,33;3,25;-%;1,02;0,63;-1,11;Consumo Cíclico;Comércio
WEGE3;36,66;436.197.263,50;32,88;6,45;0,84%;-0,23;1,12;0,77;Bens Industriais;Máquinas e Equipamentos
WHRL3;7,43;93.255,88;15,67;5,79;3,30%;-0,83;0,47;1,18;Consumo Cíclico;Comércio
WHRL4;8,55;210.142,68;18,04;6,66;3,15%;-0,83;0,47;1,18;Consumo Cíclico;Comércio
WIZS3;10,41;24.135.404,53;8,59;5,62;5,82%;-0,86;1,22;1,34;Financeiro e Outros;Previdência e Seguros
WLMM3;20,22;10.819,25;13,53;1,59;1,95%;-0,28;1,49;1,37;Bens Industriais;Comércio
WLMM4;30,40;32.459,30;20,35;2,40;1,43%;-0,28;1,49;1,37;Bens Industriais;Comércio
WSON33;50,34;2.464.335,33;32,24;1,62;11,72%;0,93;1,57;1,62;Bens Industriais;Transporte
YDUQ3;29,43;85.272.493,20;92,97;2,85;-%;1,01;0,32;2,09;Consumo Cíclico;Diversos
